,PROCEDIMENTO,Unnamed: 1,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
232,FRENOTOMIA/FRENULOTOMIA LABIAL,OD,AMB,HCO,HSO,REF,LÁBIO,CABEÇA E PESCOÇO,,,,,
233,FRENULECTOMIA  LABIAL,OD,AMB,HCO,HSO,REF,LÁBIO,CABEÇA E PESCOÇO,,,,,
234,QUEILOPLASTIA PARA FISSURA LABIAL,,,HCO,HSO,REF,LÁBIO,CABEÇA E PESCOÇO,,,,,
235,RECONSTRUÇÃO DE SULCO GENGIVO-LABIAL,HCO,HSO,REF,LÁBIO,CABEÇA E PESCOÇO,,,,,,,
236,RECONSTRUÇÃO TOTAL DO LÁBIO,HCO,HSO,REF,LÁBIO,CABEÇA E PESCOÇO,,,,,,,
237,ADEQUAÇÃO DO MEIO BUCAL (COM DIRETRIZ DE UTILIZAÇÃO),OD,78,BOCA,CABEÇA E PESCOÇO,,,,,,,,
238,AJUSTE OCLUSAL POR ACRÉSCIMO,OD,,BOCA,CABEÇA E PESCOÇO,,,,,,,,
239,AJUSTE OCLUSAL POR DESGASTE SELETIVO,OD,,,,BOCA,CABEÇA E PESCOÇO,,,,,,
240,ALONGAMENTO CIRÚRGICO DO PALATO MOLE,,HCO,HSO,REF,BOCA,CABEÇA E PESCOÇO,,,,,,
241,ALVEOLOPLASTIA,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
242,AMPUTAÇÃO RADICULAR COM OBTURAÇÃO RETRÓGRADA,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
243,AMPUTAÇÃO RADICULAR SEM OBTURAÇÃO RETRÓGRADA,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
244,APICETOMIA BIRRADICULARES COM OBTURAÇÃO RETRÓGRADA,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
245,APICETOMIA BIRRADICULARES SEM OBTURAÇÃO RETRÓGRADA,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
246,APICETOMIA MULTIRRADICULARES COM OBTURAÇÃO RETRÓGRADA,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
247,,RN,,,,,,,,,,,
248,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
249,,(alteração),,,,,,,,,,,
250,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,,,
251,APICETOMIA UNIRRADICULARES SEM OBTURAÇÃO RETRÓGRADA,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
252,,,,,INVASIVOS,,,,,,,,
253,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,,,
254,APROFUNDAMENTO/AUMENTO DE VESTÍBULO,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
255,AUMENTO DE COROA CLÍNICA,OD,,,,,,BOCA,CABEÇA E PESCOÇO,,,,
256,BIÓPSIA DE BOCA (COM DIRETRIZ DE UTILIZAÇÃO),OD,AMB,HCO,HSO,REF,81,BOCA,CABEÇA E PESCOÇO,,,,
257,BRIDECTOMIA,OD,AMB,HCO,HSO,REF,BOCA,CABEÇA E PESCOÇO,,,,,
258,BRIDOTOMIA,OD,AMB,HCO,HSO,REF,BOCA,CABEÇA E PESCOÇO,,,,,
259,CAPEAMENTO PULPAR DIRETO - EXCLUINDO RESTAURAÇÃO FINAL,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
260,CIRURGIA PARA EXOSTOSE MAXILAR,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
261,CIRURGIA PARA TORUS MANDIBULAR,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
262,CIRURGIA PARA TORUS PALATINO,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
263,CIRURGIA PERIODONTAL A RETALHO,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
264,COLAGEM DE FRAGMENTOS DENTÁRIOS,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
265,METÁLICA FUNDIDA (RMF) - COM DIRETRIZ DE UTILIZAÇÃO,,,,INVASIVOS,,,,,,,,
266,,,,,PROCEDIM,,,,,,,,
267,REEMBASAMENTO DE COROA PROVISÓRIA,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
268,CUNHA PROXIMAL,OD,,,,,BOCA,CABEÇA E PESCOÇO,,,,,
269,,,,,,,,,INVASIVOS,,,,
270,CONTROLE DE HEMORRAGIA COM APLICAÇÃO DE AGENTE HEMOSTÁTICO EM REGIÃO BUCO-MAXILO-,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,
271,,OD,,,,,BOCA,CABEÇA E PESCOÇO,,,,,
272,FACIAL,,,,,,,,INVASIVOS,,,,
273,CONTROLE DE HEMORRAGIA SEM APLICAÇÃO DE AGENTE HEMOSTÁTICO EM REGIÃO BUCO-MAXILO-,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,
274,,OD,,,,,BOCA,CABEÇA E PESCOÇO,,,,,
275,FACIAL,,,,,,,,INVASIVOS,,,,
276,"INCISÃO E DRENAGEM EXTRA-ORAL DE ABSCESSO, HEMATOMA E/OU FLEGMÃO DA REGIÃO BUCO-MAXILO-",,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,
277,,OD,AMB,HCO,HSO,REF,BOCA,CABEÇA E PESCOÇO,,,,,
278,FACIAL,,,,,,,,INVASIVOS,,,,
279,"INCISÃO E DRENAGEM INTRA-ORAL DE ABSCESSO, HEMATOMA E/OU FLEGMÃO DA REGIÃO BUCO-MAXILO-",,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,
280,,RN,,,,,,,,,,,
281,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
282,,(alteração),,,,,,,,,,,
283,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
284,EXCISÃO DE LESÃO COM RECONSTRUÇÃO,HCO,HSO,REF,BOCA,CABEÇA E PESCOÇO,,,,,,,
285,,,,,,,INVASIVOS,,,,,,
286,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
287,EXCISÃO DE TUMOR DE BOCA COM MANDIBULECTOMIA OU MAXILECTOMIA,HCO,HSO,REF,BOCA,CABEÇA E PESCOÇO,,,,,,,
288,ENXERTO GENGIVAL LIVRE,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
289,ENXERTO PEDICULADO,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
290,EXODONTIA DE RAIZ RESIDUAL,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
291,EXODONTIA SIMPLES DE DECÍDUO,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
292,EXODONTIA DE PERMANENTE POR INDICAÇÃO ORTODÔNTICA/PROTÉTICA,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
293,EXODONTIA SIMPLES DE PERMANENTE,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
294,FACETA DIRETA EM RESINA FOTOPOLIMERIZÁVEL,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
295,GENGIVECTOMIA,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
296,GENGIVOPLASTIA,OD,,,,BOCA,CABEÇA E PESCOÇO,,,,,,
297,"GLOSSECTOMIA SUBTOTAL OU TOTAL, COM OU SEM MANDIBULECTOMIA",,HCO,HSO,REF,BOCA,CABEÇA E PESCOÇO,,,,,,
298,IMOBILIZAÇÃO DENTÁRIA EM DENTES DECÍDUOS,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
299,IMOBILIZAÇÃO DENTÁRIA EM DENTES PERMANENTES,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
300,,RN,,,,,,,,,,,
301,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
302,,(alteração),,,,,,,,,,,
303,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
304,PALATOPLASTIA COM RETALHO OU ENXERTO,HCO,HSO,REF,BOCA,CABEÇA E PESCOÇO,,,,,,,
305,,,,,,,INVASIVOS,,,,,,
306,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
307,PALATOPLASTIA PARCIAL OU TOTAL,HCO,HSO,REF,BOCA,CABEÇA E PESCOÇO,,,,,,,
308,PULPOTOMIA,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
309,PULPOTOMIA EM DENTE DECÍDUO,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
310,PALATO-QUEILOPLASTIA,HCO,HSO,REF,BOCA,CABEÇA E PESCOÇO,,,,,,,
311,PLÁSTICA DO DUCTO PAROTÍDEO,HCO,HSO,REF,BOCA,CABEÇA E PESCOÇO,,,,,,,
312,COLETA DE RASPADO EM LESÕES OU SÍTIOS ESPECÍFICOS DA REGIÃO BUCO-MAXILO-FACIAL,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
313,PUNÇÃO ASPIRATIVA NA REGIÃO BUCO-MAXILO-FACIAL,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
314,RASPAGEM SUB-GENGIVAL E ALISAMENTO RADICULAR/CURETAGEM DE BOLSA PERIODONTAL,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
315,RASPAGEM SUPRA-GENGIVAL E POLIMENTO CORONÁRIO,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
316,"REABILITAÇÃO COM COROA DE ACETATO, AÇO OU POLICARBONATO (COM DIRETRIZ DE UTILIZAÇÃO)",OD,89,BOCA,CABEÇA E PESCOÇO,,,,,,,,
317,,,,,,INVASIVOS,,,,,,,
318,REABILITAÇÃO COM COROA TOTAL DE CERÔMERO UNITÁRIA - INCLUI A PEÇA PROTÉTICA (COM DIRETRIZ,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,,
319,,OD,92,BOCA,CABEÇA E PESCOÇO,,,,,,,,
320,DE UTILIZAÇÃO),,,,,INVASIVOS,,,,,,,
321,REABILITAÇÃO COM COROA TOTAL METÁLICA UNITÁRIA- INCLUI A PEÇA PROTÉTICA (COM DIRETRIZ DE,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,,
322,,OD,93,BOCA,CABEÇA E PESCOÇO,,,,,,,,
323,UTILIZAÇÃO),,,,,INVASIVOS,,,,,,,
324,REABILITAÇÃO COM NÚCLEO METÁLICO FUNDIDO/NÚCLEO PRÉ-FABRICADO - INCLUI A PEÇA PROTÉTICA,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,,
325,,OD,94,BOCA,CABEÇA E PESCOÇO,,,,,,,,
326,(COM DIRETRIZ DE UTILIZAÇÃO),,,,,INVASIVOS,,,,,,,
327,REABILITAÇÃO COM RESTAURAÇÃO METÁLICA FUNDIDA (RMF) UNITÁRIA - INCLUI A PEÇA PROTÉTICA,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,,
328,,OD,95,BOCA,CABEÇA E PESCOÇO,,,,,,,,
329,(COM DIRETRIZ DE UTILIZAÇÃO),,,,,INVASIVOS,,,,,,,
330,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,,
331,RECIMENTAÇÃO DE PEÇA/TRABALHO PROTÉTICO,OD,,BOCA,CABEÇA E PESCOÇO,,,,,,,,
332,,,,,,INVASIVOS,,,,,,,
333,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,,
334,RECONSTRUÇÃO DE SULCO GENGIVO-LABIAL,OD,,BOCA,CABEÇA E PESCOÇO,,,,,,,,
335,,,,,,INVASIVOS,,,,,,,
336,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,,
337,REDUÇÃO CRUENTA DE FRATURA ALVÉOLO DENTÁRIA,OD,,BOCA,CABEÇA E PESCOÇO,,,,,,,,
338,,,,,,INVASIVOS,,,,,,,
339,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,,
340,REDUÇÃO INCRUENTA DE FRATURA ALVÉOLO DENTÁRIA,OD,,BOCA,CABEÇA E PESCOÇO,,,,,,,,
341,,RN,,,,,,,,,,,
342,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
343,,(alteração),,,,,,,,,,,
344,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,,,
345,REIMPLANTE DE DENTE AVULSIONADO COM CONTENÇÃO,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
346,,,,,INVASIVOS,,,,,,,,
347,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,,,
348,REMOÇÃO DE CORPO ESTRANHO INTRACANAL,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
349,REMOÇÃO DE DENTES INCLUSOS / IMPACTADOS,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
350,REMOÇÃO DE DENTES SEMI-INCLUSOS / IMPACTADOS,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
351,REMOÇÃO DE DRENO EXTRA-ORAL,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
352,REMOÇÃO DE DRENO INTRA-ORAL,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
353,REMOÇÃO DOS FATORES DE RETENÇÃO DE BIOFILME DENTAL (PLACA BACTERIANA),OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
354,REMOÇÃO DE NÚCLEO INTRACANAL,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
355,REMOÇÃO DE PEÇA/TRABALHO PROTÉTICO,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
356,RESTAURAÇÃO EM AMÁLGAMA,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
357,RESTAURAÇÃO EM IONÔMERO DE VIDRO,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
358,RESTAURAÇÃO EM RESINA FOTOPOLIMERIZÁVEL,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
359,RESTAURAÇÃO TEMPORÁRIA / TRATAMENTO EXPECTANTE,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
360,RETRATAMENTO ENDODÔNTICO BIRRADICULAR EM DENTES PERMANENTES,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
361,,RN,,,,,,,,,,,
362,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
363,,(alteração),,,,,,,,,,,
364,,,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,
365,TRATAMENTO CIRÚRGICO DAS FÍSTULAS BUCO NASAL (COM DIRETRIZ DE UTILIZAÇÃO),OD,AMB,HCO,HSO,REF,98,BOCA,CABEÇA E PESCOÇO,,,,
366,,,,,,,,,,INVASIVOS,,,
367,,,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,
368,TRATAMENTO CIRÚRGICO DAS FÍSTULAS BUCO SINUSAL (COM DIRETRIZ DE UTILIZAÇÃO),OD,AMB,HCO,HSO,REF,98,BOCA,CABEÇA E PESCOÇO,,,,
369,EXÉRESE DE LIPOMA NA REGIÃO BUCO-MAXILO-FACIAL,OD,AMB,HCO,HSO,REF,,BOCA,CABEÇA E PESCOÇO,,,,
370,,,,,,,,,,INVASIVOS,,,
371,TRATAMENTO CIRÚRGICO DE HIPERPLASIAS DE TECIDOS MOLES NA REGIÃO BUCO-MAXILO-FACIAL  (COM,,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,
372,,OD,AMB,HCO,HSO,REF,99,BOCA,CABEÇA E PESCOÇO,,,,
373,DIRETRIZ DE UTILIZAÇÃO),,,,,,,,,INVASIVOS,,,
374,TRATAMENTO CIRÚRGICO DOS TUMORES BENIGNOS DE TECIDOS MOLES NA REGIÃO BUCO-MAXILO-,,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,
375,,OD,AMB,HCO,HSO,REF,99,BOCA,CABEÇA E PESCOÇO,,,,
376,FACIAL (COM DIRETRIZ DE UTILIZAÇÃO),,,,,,,,,INVASIVOS,,,
377,,,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,
378,TRATAMENTO DE ABSCESSO PERIODONTAL,OD,,,,,,BOCA,CABEÇA E PESCOÇO,,,,
379,,,,,,,,,,INVASIVOS,,,
380,,,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,
381,TRATAMENTO DE ALVEOLITE,OD,,,,,,BOCA,CABEÇA E PESCOÇO,,,,
382,,,,,,,,,,INVASIVOS,,,
383,,,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,
384,TRATAMENTO DE ODONTALGIA AGUDA,OD,,,,,,BOCA,CABEÇA E PESCOÇO,,,,
385,TRATAMENTO DE PERFURAÇÃO (RADICULAR/CÂMARA PULPAR),OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
386,TRATAMENTO ENDODÔNTICO DE DENTE COM RIZOGÊNESE INCOMPLETA,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
387,TRATAMENTO ENDODÔNTICO EM DENTE DECÍDUO,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
388,TRATAMENTO ENDODÔNTICO BIRRADICULAR EM DENTES PERMANENTES,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
389,TRATAMENTO ENDODÔNTICO MULTIRRADICULAR EM DENTES PERMANENTES,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
390,TRATAMENTO ENDODÔNTICO UNIRRADICULAR EM DENTES PERMANENTES,OD,BOCA,CABEÇA E PESCOÇO,,,,,,,,,
391,TRATAMENTO RESTAURADOR ATRAUMÁTICO (COM DIRETRIZ DE UTILIZAÇÃO),OD,100,BOCA,CABEÇA E PESCOÇO,,,,,,,,
392,TUNELIZAÇÃO (COM DIRETRIZ DE UTILIZAÇÃO),OD,101,BOCA,CABEÇA E PESCOÇO,,,,,,,,
393,,RN,,,,,,,,,,,
394,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
395,,(alteração),,,,,,,,,,,
396,,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,
397,FRENOTOMIA/FRENULOTOMIA LINGUAL,OD,AMB,HCO,HSO,REF,LÍNGUA,CABEÇA E PESCOÇO,,,,,
398,,,,,,,,,INVASIVOS,,,,
399,,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,
400,FRENULECTOMIA LINGUAL,OD,AMB,HCO,HSO,REF,LÍNGUA,CABEÇA E PESCOÇO,,,,,
401,,HCO,HSO,REF,LÍNGUA,CABEÇA E PESCOÇO,,,,,,,
402,RETALHOS OSTEOMIOCUTÂNEOS,,,,,,INVASIVOS,,,,,,
403,,HCO,HSO,REF,LÍNGUA,CABEÇA E PESCOÇO,,,,,,,
404,DE RETALHOS DE PELE,,,,,,INVASIVOS,,,,,,
405,TUMOR DE LÍNGUA - TRATAMENTO CIRÚRGICO,,,HCO,HSO,REF,,LÍNGUA,CABEÇA E PESCOÇO,,,,
406,BIÓPSIA DE GLÂNDULA SALIVAR (COM DIRETRIZ DE UTILIZAÇÃO),OD,AMB,HCO,HSO,REF,82,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,,,,
407,EXCISÃO COM OU SEM RECONSTRUÇÃO À CUSTA DE RETALHOS DE GLÂNDULAS SALIVARES,HCO,HSO,REF,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,,,,,,,
408,EXENTERAÇÃO + PAROTIDECTOMIA E ESVAZIAMENTO CERVICAL,HCO,HSO,REF,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,,,,,,,
409,EXÉRESE OU EXCISÃO DE CÁLCULO SALIVAR,OD,AMB,HCO,HSO,REF,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,,,,,
410,EXÉRESE OU EXCISÃO DE MUCOCELE,OD,AMB,HCO,HSO,REF,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,,,,,
411,EXÉRESE OU EXCISÃO DE RÂNULA,OD,AMB,HCO,HSO,REF,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,,,,,
412,EXÉRESE DE RÂNULA OU MUCOCELE,OD,AMB,HCO,HSO,REF,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,,,,,
413,PLASTIA DE DUCTO SALIVAR OU EXÉRESE DE CÁLCULO OU DE RÂNULA SALIVAR,OD,AMB,HCO,HSO,REF,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,,,,,
414,EXÉRESE DE TUMOR E ENXERTO LIVRE,,,HCO,HSO,REF,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,,,,,
415,"EXÉRESE INCLUINDO PELE, CARTILAGEM COM RECONSTRUÇÃO À CUSTA DE RETALHOS",AMB,HCO,HSO,REF,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,,,,,,
416,,,,,,,,INVASIVOS,,,,,
417,PAROTIDECTOMIA PARCIAL OU TOTAL COM OU SEM RECONSTRUÇÃO OU CONSERVAÇÃO DO NERVO,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
418,,,HCO,HSO,REF,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,,,,,,
419,FACIAL,,,,,,,INVASIVOS,,,,,
420,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
421,PAROTIDECTOMIA TOTAL COM RESSECÇÃO DO RAMO ASCENDENTE DA MANDÍBULA,,HCO,HSO,REF,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,,,,,,
422,,,,,,,,INVASIVOS,,,,,
423,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
424,PLASTIA DE DUCTO SALIVAR,AMB,HCO,HSO,REF,GLÂNDULAS SALIVARES,CABEÇA E PESCOÇO,,,,,,
425,,RN,,,,,,,,,,,
426,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
427,,(alteração),,,,,,,,,,,
428,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
429,ADENO-AMIGDALECTOMIA,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,,
430,,,,,,,INVASIVOS,,,,,,
431,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
432,ADENOIDECTOMIA,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,,
433,ADENOIDECTOMIA POR VIDEOENDOSCOPIA,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,,
434,AMIGDALECTOMIA DAS PALATINAS,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,,
435,AMIGDALECTOMIA LINGUAL,,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,
436,"BIÓPSIA DO CAVUM, OROFARINGE OU HIPOFARINGE",AMB,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,
437,CAUTERIZAÇÃO,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,,
438,CRIPTÓLISE AMIGDALIANA,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,,
439,FARINGOLARINGECTOMIA,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,,
440,FARINGOLARINGOESOFAGECTOMIA COM OU SEM ESVAZIAMENTO,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,,
441,RESSECÇÃO DE NASOANGIOFIBROMA,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,,
442,RESSECÇÃO DE TUMOR DE BOCA OU FARINGE,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,,
443,RESSECÇÃO DE TUMOR DE FARINGE (VIA BUCAL OU NASAL),HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,,
444,RESSECÇÃO DE TUMOR DE FARINGE COM ACESSO POR FARINGOTOMIA OU POR RETALHO JUGAL,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,,
445,RESSECÇÃO DE TUMOR DE FARINGE COM OU SEM MANDIBULECTOMIA,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,,
446,RESSECÇÃO DE TUMOR DE FARINGE POR MANDIBULOTOMIA,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,,
447,,RN,,,,,,,,,,,
448,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
449,,(alteração),,,,,,,,,,,
450,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
451,"RETIRADA DE CORPO ESTRANHO DE FARINGE, COM OU SEM ANESTESIA GERAL",AMB,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,
452,,,,,,,,INVASIVOS,,,,,
453,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
454,UVULOPALATOFARINGOPLASTIA,,HCO,HSO,REF,FARINGE,CABEÇA E PESCOÇO,,,,,,
455,ALARGAMENTO DE TRAQUEOSTOMIA,HCO,HSO,REF,LARINGE,CABEÇA E PESCOÇO,,,,,,,
456,ARITENOIDECTOMIA MICROCIRÚRGICA,HCO,HSO,REF,LARINGE,CABEÇA E PESCOÇO,,,,,,,
457,ARITENOIDECTOMIA OU ARITENOPEXIA,HCO,HSO,REF,LARINGE,CABEÇA E PESCOÇO,,,,,,,
458,,,,,,,INVASIVOS,,,,,,
459,CONFECÇÃO DE FÍSTULA TRÁQUEO-ESOFÁGICA PARA PRÓTESE FONATÓRIA COM MIOTOMIA FARÍNGEA -,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
460,,HCO,HSO,REF,LARINGE,CABEÇA E PESCOÇO,,,,,,,
461,INCLUI A PRÓTESE FONATÓRIA,,,,,,INVASIVOS,,,,,,
462,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
463,EXÉRESE DE TUMOR POR VIA ENDOSCÓPICA,HCO,HSO,REF,LARINGE,CABEÇA E PESCOÇO,,,,,,,
464,,,,,,,INVASIVOS,,,,,,
465,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
466,"EXÉRESE DE TUMOR POR VIA ENDOSCÓPICA, COM LASER",HCO,HSO,REF,LARINGE,CABEÇA E PESCOÇO,,,,,,,
467,INJEÇÃO INTRALARÍNGEA DE TOXINA BOTULÍNICA,,HCO,HSO,REF,LARINGE,CABEÇA E PESCOÇO,,,,,,
468,,,,,,,,INVASIVOS,,,,,
469,LARINGECTOMIA PARCIAL OU TOTAL COM OU SEM ESVAZIAMENTO CERVICAL COM OU SEM,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
470,,,HCO,HSO,REF,LARINGE,CABEÇA E PESCOÇO,,,,,,
471,RECONSTRUÇÃO POR RETALHOS,,,,,,,INVASIVOS,,,,,
472,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
473,LARINGOFISSURA (INCLUSIVE COM CORDECTOMIA),,HCO,HSO,REF,LARINGE,CABEÇA E PESCOÇO,,,,,,
